term,mean_tfidf_high,mean_tfidf_moderate,mean_tfidf_limited,mean_tfidf_low,term_type
enhancing,0.023452,0.006906,0.00562,0.0,unigram
needs,0.023452,0.019322,0.0,0.019968,unigram
updates,0.02344,0.01697,0.016857,0.0,unigram
ongoing,0.023427,0.020432,0.028253,0.0,unigram
standards,0.023396,0.010085,0.009862,0.0,unigram
significant,0.023356,0.01501,0.020775,0.027133,unigram
suppliers,0.023344,0.025312,0.00455,0.0,unigram
considered,0.023306,0.004047,0.021411,0.0,unigram
making,0.02327,0.020818,0.010027,0.031419,unigram
term,0.023257,0.033115,0.011199,0.0,unigram
increasingly,0.023251,0.014061,0.01027,0.0,unigram
powered,0.02322,0.029553,0.017013,0.0,unigram
leveraging,0.023207,0.024024,0.004626,0.0,unigram
content,0.023182,0.0,0.0,0.0,unigram
deep,0.023179,0.008803,0.010143,0.0,unigram
manage,0.023154,0.016642,0.004626,0.0,unigram
act,0.023136,0.010356,0.013149,0.0,unigram
agents,0.023121,0.007267,0.008788,0.0,unigram
helping,0.023095,0.012229,0.0,0.0,unigram
increased,0.023076,0.019543,0.009459,0.017994,unigram
deliver,0.023063,0.029142,0.01576,0.047757,unigram
industry,0.023048,0.015284,0.022347,0.0,unigram
ai digital,0.023009,0.0146,0.003823,0.0,bigram
responsible ai,0.022998,0.009294,0.0,0.0,bigram
way,0.022965,0.011572,0.00519,0.0,unigram
chief,0.022911,0.013755,0.008862,0.018943,unigram
enabled,0.022859,0.037314,0.011872,0.0,unigram
alongside,0.022832,0.014794,0.012831,0.0,unigram
time,0.022808,0.026745,0.027528,0.027133,unigram
accessibility,0.022772,0.0,0.0,0.0,unigram
statements,0.022722,0.011054,0.015147,0.021082,unigram
control,0.022686,0.02691,0.024188,0.0,unigram
businesses,0.022674,0.023993,0.003605,0.0,unigram
productivity,0.022538,0.021546,0.010755,0.0,unigram
consistent,0.022466,0.011121,0.0,0.025159,unigram
discussions,0.022411,0.007754,0.005949,0.0,unigram
point,0.022394,0.008494,0.0,0.0,unigram
genai,0.022368,0.028045,0.014221,0.0,unigram
research,0.022267,0.0,0.0,0.0,unigram
regulatory,0.022263,0.029119,0.010915,0.033041,unigram
policy,0.022241,0.013898,0.018384,0.0,unigram
associated,0.022179,0.010785,0.019504,0.017994,unigram
operational resilience,0.022171,0.013965,0.0,0.0,bigram
build,0.022171,0.02694,0.010053,0.0,unigram
regulation,0.022109,0.014977,0.0,0.0,unigram
improved,0.021967,0.020647,0.011582,0.0,unigram
continues,0.021907,0.031949,0.008789,0.0,unigram
generative agentic,0.021858,0.0,0.0,0.0,bigram
infrastructure,0.021858,0.032119,0.008429,0.0,unigram
programmes,0.021849,0.027147,0.00395,0.0,unigram
chain,0.021832,0.006985,0.0,0.0,unigram
assessment,0.021787,0.00881,0.019408,0.0,unigram
decisions,0.021783,0.010145,0.012585,0.0,unigram
complex,0.021706,0.02503,0.0,0.0,unigram
costs,0.021665,0.010145,0.023202,0.0,unigram
supported,0.021662,0.0181,0.007151,0.0,unigram
lending,0.02165,0.004503,0.0,0.0,unigram
given,0.021641,0.003863,0.004067,0.0,unigram
pricing,0.021597,0.017005,0.005949,0.0,unigram
increase,0.021582,0.022705,0.01634,0.017111,unigram
delivering,0.021581,0.012222,0.025415,0.032073,unigram
meet,0.021529,0.008107,0.010433,0.0,unigram
trend,0.021504,0.004195,0.0,0.026868,unigram
serve,0.021496,0.011381,0.005959,0.0,unigram
principles,0.021484,0.018609,0.0,0.0,unigram
stakeholders,0.021412,0.0,0.005602,0.0,unigram
technological,0.021408,0.003291,0.009177,0.03871,unigram
end,0.021398,0.016431,0.012759,0.019968,unigram
applicable,0.021395,0.008511,0.0,0.0,unigram
developed,0.021361,0.010376,0.012641,0.0,unigram
annual report,0.021361,0.022024,0.010609,0.0,bigram
laws regulations,0.021357,0.0,0.0,0.0,bigram
outcomes,0.02135,0.012193,0.029801,0.0,unigram
page,0.021349,0.017173,0.0,0.0,unigram
sources,0.021287,0.007791,0.0,0.0,unigram
presented,0.021267,0.003928,0.005949,0.0,unigram
set,0.021244,0.01525,0.015544,0.0,unigram
rights,0.021244,0.004429,0.0,0.0,unigram
currencies,0.021187,0.004429,0.0,0.0,unigram
microsoft,0.021184,0.0,0.00504,0.0,unigram
challenge,0.021151,0.01231,0.0,0.0,unigram
developments,0.02115,0.012803,0.014595,0.046186,unigram
identify,0.021143,0.004305,0.01438,0.0,unigram
collaboration,0.021143,0.006149,0.008754,0.0,unigram
interactions,0.021084,0.003693,0.011552,0.0,unigram
rapidly,0.021081,0.022451,0.0,0.0,unigram
capital,0.021024,0.026215,0.007012,0.039754,unigram
money,0.021004,0.0,0.012374,0.0,unigram
asset,0.020959,0.010354,0.012328,0.0,unigram
trusted,0.020928,0.008932,0.0,0.0,unigram
material,0.020925,0.003482,0.018979,0.0,unigram
assurance,0.020916,0.01755,0.0,0.0,unigram
embed,0.020855,0.010469,0.0,0.0,unigram
outcome,0.020808,0.005234,0.0,0.0,unigram
services,0.020775,0.026999,0.019878,0.065484,unigram
long,0.020762,0.025597,0.006774,0.0,unigram
multi,0.020745,0.010544,0.003823,0.0,unigram
included,0.020739,0.017423,0.017941,0.0,unigram
provides,0.02073,0.014369,0.008473,0.0,unigram
supporting,0.020714,0.007937,0.005959,0.023651,unigram
progress,0.02071,0.026104,0.020829,0.0,unigram
wide,0.020698,0.007924,0.008928,0.0,unigram
loss,0.02067,0.007749,0.009783,0.0,unigram
accounts,0.020668,0.025033,0.00761,0.0,unigram
operating,0.020657,0.01787,0.016443,0.0,unigram
scaling,0.020654,0.00525,0.006329,0.0,unigram
required,0.020633,0.014069,0.007391,0.0,unigram
advanced,0.020615,0.020172,0.009177,0.0,unigram
expertise,0.020595,0.020032,0.009032,0.0,unigram
meeting,0.020585,0.006498,0.01327,0.0,unigram
adoption ai,0.020555,0.006985,0.009485,0.0,bigram
parties,0.020516,0.003863,0.004067,0.0,unigram
language,0.0205,0.0,0.016326,0.0,unigram
developing,0.020456,0.012229,0.0,0.0,unigram
wider,0.020454,0.013284,0.00455,0.0,unigram
responsibly,0.020429,0.008321,0.0,0.0,unigram
open,0.02042,0.017131,0.005959,0.0,unigram
accelerating,0.020384,0.008862,0.0,0.0,unigram
reporting,0.020379,0.018693,0.02204,0.0,unigram
enhance,0.020358,0.028397,0.030546,0.025019,unigram
landscape,0.020349,0.028099,0.003228,0.0,unigram
implementation,0.020344,0.007916,0.021185,0.0,unigram
distribution,0.020339,0.020665,0.0,0.0,unigram
inflation,0.020325,0.003863,0.004067,0.0,unigram
grow,0.020311,0.010901,0.00892,0.0,unigram
energy,0.020309,0.012853,0.0,0.0,unigram
bias,0.020308,0.013238,0.02731,0.041909,unigram
particular,0.020294,0.006529,0.007803,0.0,unigram
academy,0.020282,0.005226,0.0,0.0,unigram
credit,0.020268,0.035666,0.0,0.0,unigram
received,0.020217,0.006794,0.020782,0.0,unigram
accelerated,0.020191,0.008429,0.0,0.0,unigram
cyber,0.020154,0.022181,0.040808,0.0,unigram
training,0.020151,0.009458,0.025065,0.0,unigram
enabling,0.020146,0.024169,0.009253,0.0,unigram
role,0.020136,0.013873,0.010295,0.0,unigram
cost,0.020126,0.01362,0.015942,0.0,unigram
providing,0.020114,0.014123,0.005274,0.0,unigram
report accounts,0.020107,0.015509,0.009013,0.0,bigram
non executive,0.020094,0.008772,0.009862,0.0,bigram
decision,0.020037,0.020677,0.00455,0.0,unigram
limited,0.019953,0.011266,0.019257,0.0,unigram
david,0.019915,0.0,0.0,0.0,unigram
simplification,0.0199,0.004876,0.004343,0.0,unigram
groups,0.019879,0.01394,0.005593,0.0,unigram
section,0.019869,0.0,0.012204,0.0,unigram
rapid,0.019856,0.025009,0.005465,0.0,unigram
audit,0.019827,0.019266,0.023683,0.017994,unigram
affect,0.019825,0.007928,0.0,0.0,unigram
human,0.019801,0.024434,0.004814,0.0,unigram
offering,0.019791,0.016817,0.0,0.040951,unigram
experiences,0.019789,0.00729,0.009416,0.0,unigram
plans,0.019761,0.01118,0.009115,0.0,unigram
capability,0.019718,0.021208,0.0,0.0,unigram
product,0.019648,0.038971,0.011494,0.053197,unigram
ai technologies,0.019616,0.0,0.0,0.0,bigram
requirements,0.019598,0.017159,0.01558,0.0,unigram
sector,0.019582,0.008105,0.0,0.0,unigram
competition,0.01958,0.007117,0.008034,0.0,unigram
topics,0.019574,0.004891,0.006353,0.0,unigram
committees,0.019561,0.008443,0.0,0.0,unigram
benefit,0.019502,0.0,0.0,0.0,unigram
context,0.019495,0.0,0.00682,0.0,unigram
efficiency,0.019481,0.025806,0.022679,0.0,unigram
area,0.019476,0.003863,0.005521,0.0,unigram
ethical,0.019475,0.016226,0.019653,0.0,unigram
additionally,0.01947,0.0,0.0,0.0,unigram
expected,0.019445,0.010469,0.005949,0.0,unigram
assistant,0.019436,0.011018,0.0,0.0,unigram
demand,0.019427,0.016279,0.008255,0.0,unigram
related risks,0.019416,0.004195,0.0,0.0,bigram
including artificial,0.01939,0.0,0.0,0.0,bigram
supply,0.019376,0.014742,0.0,0.0,unigram
external,0.019369,0.012517,0.020828,0.029902,unigram
large,0.019363,0.013026,0.01104,0.0,unigram
copilot,0.019357,0.0,0.0,0.0,unigram
integrated,0.019342,0.017367,0.0,0.0,unigram
seamless,0.019341,0.009071,0.0,0.0,unigram
culture,0.01934,0.023039,0.023662,0.0,unigram
additional,0.019315,0.015599,0.013906,0.018943,unigram
competitive,0.019305,0.024895,0.02332,0.0,unigram
communities,0.019304,0.003863,0.005246,0.0,unigram
enterprise,0.019258,0.016839,0.011702,0.0,unigram
safely,0.019254,0.01118,0.0,0.0,unigram
opportunity,0.019243,0.024177,0.017149,0.0,unigram
direct,0.019242,0.021781,0.004894,0.0,unigram
head,0.019232,0.0,0.006329,0.0,unigram
medium,0.019227,0.011658,0.004067,0.0,unigram
people,0.019223,0.023413,0.02629,0.025862,unigram
improve,0.019201,0.02211,0.030972,0.0,unigram
initiatives,0.019196,0.027494,0.020844,0.0,unigram
range,0.019174,0.012896,0.014076,0.058823,unigram
finance,0.019161,0.026049,0.00543,0.0,unigram
accounting,0.019149,0.012279,0.018891,0.046186,unigram
nature,0.019147,0.003928,0.009497,0.0,unigram
easier,0.019131,0.007499,0.0,0.0,unigram
make,0.019127,0.015759,0.019353,0.0,unigram
strategies,0.019112,0.004876,0.004343,0.0,unigram
agile,0.019101,0.0,0.010757,0.0,unigram
used,0.019079,0.016015,0.011673,0.018943,unigram
certain,0.019056,0.007998,0.010036,0.0,unigram
objectives,0.019039,0.004047,0.015707,0.0,unigram
long term,0.019037,0.025597,0.006774,0.0,bigram
prices,0.019006,0.0,0.0,0.0,unigram
environment,0.018989,0.02451,0.016738,0.0,unigram
actions,0.018989,0.015603,0.007391,0.0,unigram
journey,0.018952,0.017035,0.010734,0.0,unigram
ai agents,0.018943,0.008862,0.0,0.0,bigram
company,0.018932,0.017237,0.021566,0.0,unigram
partnership,0.01891,0.013737,0.014046,0.0,unigram
banks,0.018906,0.009017,0.0,0.0,unigram
data ethics,0.018889,0.0,0.0,0.0,bigram
drive,0.018859,0.033929,0.012975,0.016284,unigram
rates,0.018853,0.014916,0.008788,0.0,unigram
global,0.018835,0.03726,0.022443,0.0,unigram
target,0.018829,0.008107,0.009708,0.0,unigram
software,0.018801,0.015867,0.0,0.0,unigram
senior,0.018781,0.014337,0.021248,0.0,unigram
digital ai,0.018781,0.005675,0.0,0.0,bigram
create,0.018778,0.021382,0.00465,0.0,unigram
remains,0.018766,0.020415,0.019311,0.0,unigram
programme,0.018753,0.023971,0.007164,0.037762,unigram
ai powered,0.018748,0.029695,0.01791,0.0,bigram
high quality,0.018703,0.0,0.0,0.0,bigram
employees,0.018663,0.016275,0.024678,0.0,unigram
level,0.018627,0.01691,0.007219,0.0,unigram
designed,0.018585,0.021261,0.011747,0.0,unigram
design,0.018564,0.003928,0.01147,0.0,unigram
integration,0.018562,0.021504,0.01348,0.0,unigram
relating,0.018559,0.013615,0.007958,0.03871,unigram
technology data,0.018553,0.007749,0.020048,0.0,bigram
estate,0.018526,0.013445,0.006886,0.0,unigram
inclusion,0.018489,0.017794,0.017551,0.0,unigram
ai risk,0.018487,0.011231,0.011354,0.0,bigram
higher,0.018467,0.013009,0.0,0.0,unigram
wealth,0.018463,0.024233,0.0,0.0,unigram
commercial,0.018458,0.015013,0.00465,0.0,unigram
helps,0.01844,0.007754,0.009348,0.025159,unigram
reports,0.018422,0.009017,0.0,0.0,unigram
profile,0.01841,0.009071,0.0,0.0,unigram
update,0.018403,0.00889,0.0,0.0,unigram
develop,0.018383,0.009319,0.012384,0.044242,unigram
customer experience,0.01836,0.019374,0.00761,0.0,bigram
processes,0.018343,0.024781,0.036648,0.085278,unigram
centre,0.018339,0.004429,0.0,0.0,unigram
social,0.018336,0.020384,0.010007,0.0,unigram
government,0.018326,0.004195,0.004343,0.0,unigram
technology ai,0.018291,0.0127,0.005105,0.0,bigram
action,0.018285,0.004876,0.005896,0.0,unigram
remuneration,0.018279,0.014374,0.029957,0.0,unigram
teams,0.018276,0.017322,0.017631,0.029902,unigram
data including,0.018272,0.004503,0.0,0.0,bigram
ai driven,0.01826,0.01917,0.011169,0.039754,bigram
leadership,0.018254,0.029294,0.005031,0.0,unigram
standard,0.018246,0.010568,0.0,0.0,unigram
reviewed,0.018242,0.010753,0.0267,0.0,unigram
personal,0.01822,0.017058,0.008034,0.0,unigram
impacts,0.018205,0.005234,0.012204,0.0,unigram
number,0.018195,0.014969,0.016802,0.0,unigram
reduce,0.018195,0.018736,0.011582,0.0,unigram
drivers,0.018188,0.0,0.0,0.0,unigram
strengthen,0.018142,0.018536,0.016687,0.0,unigram
data analytics,0.018105,0.004787,0.0,0.0,bigram
cybersecurity,0.018057,0.008803,0.006353,0.0,unigram
faster,0.018023,0.021508,0.003408,0.0,unigram
group chief,0.018019,0.0,0.0,0.0,bigram
privacy,0.017995,0.014018,0.008499,0.0,unigram
million,0.017976,0.008429,0.019754,0.0,unigram
matters,0.017964,0.009955,0.021411,0.0,unigram
engaging,0.017945,0.0,0.0,0.0,unigram
risk profile,0.017939,0.005234,0.0,0.0,bigram
gen,0.017916,0.035533,0.0,0.0,unigram
introduce,0.017884,0.0,0.007354,0.0,unigram
efforts,0.017859,0.0,0.011401,0.0,unigram
noting,0.017844,0.0,0.0,0.0,unigram
ai academy,0.017837,0.005226,0.0,0.0,bigram
successful,0.017827,0.012476,0.003605,0.0,unigram
transparency,0.017812,0.019042,0.005246,0.0,unigram
ion,0.017778,0.00525,0.0,0.0,unigram
new technologies,0.017749,0.007937,0.0,0.023651,bigram
measures,0.017744,0.011861,0.006353,0.0,unigram
safe,0.017705,0.008597,0.008754,0.0,unigram
basis,0.017697,0.004305,0.01115,0.0,unigram
adverse,0.017671,0.005234,0.0,0.0,unigram
migration,0.017656,0.004503,0.004662,0.0,unigram
better,0.017644,0.029159,0.018341,0.0,unigram
validation,0.017636,0.0,0.0,0.0,unigram
leaders,0.01763,0.024441,0.008255,0.0,unigram
ai models,0.017624,0.0,0.0,0.0,bigram
ai technology,0.017611,0.015259,0.005593,0.0,bigram
taken,0.017601,0.012407,0.0,0.0,unigram
gen ai,0.017577,0.035083,0.0,0.0,bigram
practices,0.017562,0.014993,0.008393,0.0,unigram
exchange,0.017527,0.00525,0.007268,0.0,unigram
financial crime,0.017521,0.003693,0.01982,0.0,bigram
future skills,0.017496,0.0,0.0,0.0,bigram
transactions,0.017487,0.011893,0.010101,0.034783,unigram
november,0.017453,0.010611,0.003823,0.0,unigram
existing,0.017451,0.018292,0.007803,0.021082,unigram
approval,0.017439,0.004195,0.006353,0.0,unigram
led,0.017426,0.01496,0.004931,0.0,unigram
expectations,0.017413,0.014403,0.004814,0.0,unigram
achieve,0.01741,0.003693,0.004931,0.0,unigram
workforce,0.017319,0.022718,0.031875,0.0,unigram
mortgage,0.017303,0.0,0.0,0.0,unigram
core,0.017258,0.026808,0.011077,0.018943,unigram
ai use,0.017213,0.015606,0.006473,0.0,bigram
relationships,0.017199,0.014614,0.005105,0.0,unigram
evolution,0.017199,0.011216,0.005949,0.025159,unigram
total,0.017183,0.010766,0.011463,0.0,unigram
investing,0.017124,0.017483,0.018499,0.0,unigram
fairness,0.017104,0.027967,0.027852,0.0,unigram
years,0.017083,0.041048,0.0,0.0,unigram
regulatory requirements,0.01708,0.0,0.0,0.0,bigram
principal,0.017075,0.010366,0.017305,0.0,unigram
modern,0.017067,0.015531,0.0,0.0,unigram
expect,0.017056,0.009858,0.012936,0.0,unigram
raised,0.017055,0.008508,0.0,0.0,unigram
assess,0.017005,0.008429,0.005521,0.0,unigram
economy,0.017004,0.009017,0.0,0.0,unigram
excellence,0.017004,0.007499,0.0,0.0,unigram
decision making,0.016994,0.014567,0.004814,0.0,bigram
facilitate,0.016989,0.005658,0.0,0.0,unigram
team,0.016954,0.034148,0.019173,0.017994,unigram
appetite,0.016918,0.012571,0.007894,0.0,unigram
execution,0.016878,0.022182,0.00543,0.0,unigram
activities,0.016853,0.020612,0.02107,0.0,unigram
techniques,0.016845,0.005658,0.0,0.0,unigram
improvement,0.016835,0.008511,0.0,0.0,unigram
legal,0.016816,0.019247,0.003408,0.0,unigram
rate,0.016799,0.02072,0.012982,0.018943,unigram
emissions,0.01678,0.013893,0.0,0.0,unigram
insurance,0.016756,0.026851,0.01556,0.0,unigram
assessing,0.016738,0.003693,0.008754,0.0,unigram
allowing,0.016728,0.0,0.013301,0.0,unigram
trust,0.016692,0.014346,0.009464,0.0,unigram
loans,0.016688,0.012053,0.0,0.0,unigram
functionality,0.016668,0.0,0.007856,0.0,unigram
initiative,0.016667,0.005658,0.0,0.0,unigram
introduced,0.016627,0.017361,0.013572,0.0,unigram
effective,0.016607,0.021157,0.012788,0.0,unigram
hours,0.016561,0.004429,0.006329,0.0,unigram
ai act,0.016559,0.0,0.0,0.0,bigram
claims,0.016537,0.012961,0.0,0.0,unigram
growing,0.016534,0.013952,0.020791,0.0,unigram
position,0.016533,0.019773,0.010165,0.0,unigram
believe,0.016531,0.008443,0.006339,0.0,unigram
outside,0.016524,0.0,0.0,0.057246,unigram
feedback,0.016509,0.018835,0.011812,0.018943,unigram
member,0.016505,0.017744,0.0,0.0,unigram
deploy,0.0165,0.007499,0.004662,0.0,unigram
relevant,0.01647,0.013721,0.015787,0.0,unigram
understanding,0.016414,0.014346,0.010893,0.0,unigram
including ai,0.016405,0.020795,0.01558,0.0,bigram
rapidly evolving,0.016402,0.00889,0.0,0.0,bigram
ensuring,0.016402,0.023802,0.014923,0.0,unigram
ai machine,0.016402,0.004503,0.0,0.0,bigram
data quality,0.016376,0.0,0.0,0.0,bigram
apply,0.016369,0.003863,0.005949,0.0,unigram
subject,0.016345,0.003425,0.019044,0.0,unigram
july,0.016305,0.004429,0.0,0.0,unigram
