term,term_type,document_frequency,document_frequency_pct,idf,total_count
enhanced,unigram,13,65.0,1.4055,37
building,unigram,13,65.0,1.4055,34
non,unigram,13,65.0,1.4055,33
ongoing,unigram,13,65.0,1.4055,33
build,unigram,13,65.0,1.4055,32
continues,unigram,13,65.0,1.4055,30
associated,unigram,13,65.0,1.4055,29
launched,unigram,13,65.0,1.4055,29
particularly,unigram,13,65.0,1.4055,29
workforce,unigram,13,65.0,1.4055,29
included,unigram,13,65.0,1.4055,27
remuneration,unigram,13,65.0,1.4055,27
reviewed,unigram,13,65.0,1.4055,27
share,unigram,13,65.0,1.4055,25
annual report,bigram,13,65.0,1.4055,24
programme,unigram,13,65.0,1.4055,24
leverage,unigram,13,65.0,1.4055,23
remains,unigram,13,65.0,1.4055,22
remain,unigram,13,65.0,1.4055,20
innovation,unigram,12,60.0,1.4796,69
tools,unigram,12,60.0,1.4796,66
review,unigram,12,60.0,1.4796,61
models,unigram,12,60.0,1.4796,59
performance,unigram,12,60.0,1.4796,56
learning,unigram,12,60.0,1.4796,53
compliance,unigram,12,60.0,1.4796,51
help,unigram,12,60.0,1.4796,49
enabled,unigram,12,60.0,1.4796,43
resilience,unigram,12,60.0,1.4796,43
high,unigram,12,60.0,1.4796,42
change,unigram,12,60.0,1.4796,41
generative ai,bigram,12,60.0,1.4796,40
assets,unigram,12,60.0,1.4796,39
ai powered,bigram,12,60.0,1.4796,37
term,unigram,12,60.0,1.4796,36
capital,unigram,12,60.0,1.4796,34
progress,unigram,12,60.0,1.4796,34
infrastructure,unigram,12,60.0,1.4796,33
reporting,unigram,12,60.0,1.4796,33
delivering,unigram,12,60.0,1.4796,32
partnership,unigram,12,60.0,1.4796,32
requirements,unigram,12,60.0,1.4796,32
delivery,unigram,12,60.0,1.4796,31
ai driven,bigram,12,60.0,1.4796,30
protection,unigram,12,60.0,1.4796,30
opportunity,unigram,12,60.0,1.4796,29
updates,unigram,12,60.0,1.4796,29
working,unigram,12,60.0,1.4796,29
competitive,unigram,12,60.0,1.4796,28
make,unigram,12,60.0,1.4796,28
directors,unigram,12,60.0,1.4796,27
focused,unigram,12,60.0,1.4796,27
costs,unigram,12,60.0,1.4796,26
supported,unigram,12,60.0,1.4796,26
enabling,unigram,12,60.0,1.4796,25
used,unigram,12,60.0,1.4796,25
additional,unigram,12,60.0,1.4796,24
chief,unigram,12,60.0,1.4796,24
programmes,unigram,12,60.0,1.4796,24
senior,unigram,12,60.0,1.4796,24
core,unigram,12,60.0,1.4796,23
cost,unigram,12,60.0,1.4796,23
including ai,bigram,12,60.0,1.4796,23
investing,unigram,12,60.0,1.4796,23
rate,unigram,12,60.0,1.4796,23
feedback,unigram,12,60.0,1.4796,21
implementation,unigram,12,60.0,1.4796,21
relevant,unigram,12,60.0,1.4796,21
employee,unigram,12,60.0,1.4796,20
growing,unigram,12,60.0,1.4796,20
transactions,unigram,12,60.0,1.4796,20
critical,unigram,12,60.0,1.4796,19
level,unigram,12,60.0,1.4796,19
offer,unigram,12,60.0,1.4796,18
accounting estimates,bigram,12,60.0,1.4796,15
uk,unigram,11,55.0,1.5596,90
colleagues,unigram,11,55.0,1.5596,80
systems,unigram,11,55.0,1.5596,54
climate,unigram,11,55.0,1.5596,53
markets,unigram,11,55.0,1.5596,53
access,unigram,11,55.0,1.5596,46
sustainability,unigram,11,55.0,1.5596,34
include,unigram,11,55.0,1.5596,31
end,unigram,11,55.0,1.5596,30
data ai,bigram,11,55.0,1.5596,29
plc,unigram,11,55.0,1.5596,29
cases,unigram,11,55.0,1.5596,28
leadership,unigram,11,55.0,1.5596,26
policies,unigram,11,55.0,1.5596,26
company,unigram,11,55.0,1.5596,25
long,unigram,11,55.0,1.5596,25
range,unigram,11,55.0,1.5596,25
inclusion,unigram,11,55.0,1.5596,24
integration,unigram,11,55.0,1.5596,24
long term,bigram,11,55.0,1.5596,24
ai enabled,bigram,11,55.0,1.5596,23
designed,unigram,11,55.0,1.5596,23
expertise,unigram,11,55.0,1.5596,23
improved,unigram,11,55.0,1.5596,23
landscape,unigram,11,55.0,1.5596,23
needs,unigram,11,55.0,1.5596,23
rapid,unigram,11,55.0,1.5596,23
accounts,unigram,11,55.0,1.5596,22
developed,unigram,11,55.0,1.5596,22
alongside,unigram,11,55.0,1.5596,21
appropriate,unigram,11,55.0,1.5596,21
customer experience,bigram,11,55.0,1.5596,21
required,unigram,11,55.0,1.5596,21
number,unigram,11,55.0,1.5596,20
provides,unigram,11,55.0,1.5596,20
actions,unigram,11,55.0,1.5596,19
embedded,unigram,11,55.0,1.5596,19
reduce,unigram,11,55.0,1.5596,19
effectively,unigram,11,55.0,1.5596,17
procedures,unigram,11,55.0,1.5596,16
improving,unigram,11,55.0,1.5596,15
enhancements,unigram,11,55.0,1.5596,13
cloud,unigram,10,50.0,1.6466,42
provide,unigram,10,50.0,1.6466,36
conduct,unigram,10,50.0,1.6466,34
leading,unigram,10,50.0,1.6466,32
machine,unigram,10,50.0,1.6466,31
productivity,unigram,10,50.0,1.6466,28
suppliers,unigram,10,50.0,1.6466,28
set,unigram,10,50.0,1.6466,27
consumer,unigram,10,50.0,1.6466,26
corporate,unigram,10,50.0,1.6466,26
machine learning,bigram,10,50.0,1.6466,26
relating,unigram,10,50.0,1.6466,25
standards,unigram,10,50.0,1.6466,25
leveraging,unigram,10,50.0,1.6466,24
officer,unigram,10,50.0,1.6466,24
ability,unigram,10,50.0,1.6466,23
advanced,unigram,10,50.0,1.6466,23
deployment,unigram,10,50.0,1.6466,23
driving,unigram,10,50.0,1.6466,23
plan,unigram,10,50.0,1.6466,23
decisions,unigram,10,50.0,1.6466,22
effective,unigram,10,50.0,1.6466,22
enterprise,unigram,10,50.0,1.6466,22
introduced,unigram,10,50.0,1.6466,22
statements,unigram,10,50.0,1.6466,22
assessment,unigram,10,50.0,1.6466,21
asset,unigram,10,50.0,1.6466,21
ethical,unigram,10,50.0,1.6466,21
limited,unigram,10,50.0,1.6466,21
personal,unigram,10,50.0,1.6466,21
addition,unigram,10,50.0,1.6466,20
develop,unigram,10,50.0,1.6466,20
existing,unigram,10,50.0,1.6466,20
manage,unigram,10,50.0,1.6466,20
principal,unigram,10,50.0,1.6466,20
received,unigram,10,50.0,1.6466,20
strengthen,unigram,10,50.0,1.6466,20
training,unigram,10,50.0,1.6466,20
director,unigram,10,50.0,1.6466,19
large,unigram,10,50.0,1.6466,19
members,unigram,10,50.0,1.6466,19
includes,unigram,10,50.0,1.6466,18
meeting,unigram,10,50.0,1.6466,18
position,unigram,10,50.0,1.6466,18
decision,unigram,10,50.0,1.6466,17
faster,unigram,10,50.0,1.6466,17
sustainable,unigram,10,50.0,1.6466,17
built,unigram,10,50.0,1.6466,15
launch,unigram,10,50.0,1.6466,15
legal,unigram,10,50.0,1.6466,15
levels,unigram,10,50.0,1.6466,15
non executive,bigram,10,50.0,1.6466,15
practices,unigram,10,50.0,1.6466,15
recognise,unigram,10,50.0,1.6466,15
success,unigram,10,50.0,1.6466,15
technological,unigram,10,50.0,1.6466,15
competition,unigram,10,50.0,1.6466,14
grow,unigram,10,50.0,1.6466,14
investments,unigram,10,50.0,1.6466,14
particular,unigram,10,50.0,1.6466,14
planning,unigram,10,50.0,1.6466,14
targets,unigram,10,50.0,1.6466,14
wider,unigram,10,50.0,1.6466,14
approved,unigram,10,50.0,1.6466,13
proposition,unigram,10,50.0,1.6466,12
judgements,unigram,10,50.0,1.6466,11
skills,unigram,9,45.0,1.7419,45
businesses,unigram,9,45.0,1.7419,40
clients,unigram,9,45.0,1.7419,39
agentic,unigram,9,45.0,1.7419,37
analytics,unigram,9,45.0,1.7419,37
credit,unigram,9,45.0,1.7419,37
pay,unigram,9,45.0,1.7419,32
act,unigram,9,45.0,1.7419,30
transition,unigram,9,45.0,1.7419,29
changes,unigram,9,45.0,1.7419,27
insights,unigram,9,45.0,1.7419,26
human,unigram,9,45.0,1.7419,25
need,unigram,9,45.0,1.7419,25
quality,unigram,9,45.0,1.7419,25
enable,unigram,9,45.0,1.7419,24
considered,unigram,9,45.0,1.7419,23
demand,unigram,9,45.0,1.7419,23
increasingly,unigram,9,45.0,1.7419,23
material,unigram,9,45.0,1.7419,23
use cases,bigram,9,45.0,1.7419,23
platforms,unigram,9,45.0,1.7419,22
challenges,unigram,9,45.0,1.7419,21
direct,unigram,9,45.0,1.7419,21
real,unigram,9,45.0,1.7419,21
matters,unigram,9,45.0,1.7419,20
applications,unigram,9,45.0,1.7419,19
create,unigram,9,45.0,1.7419,19
leaders,unigram,9,45.0,1.7419,19
privacy,unigram,9,45.0,1.7419,19
effectiveness,unigram,9,45.0,1.7419,18
meet,unigram,9,45.0,1.7419,18
understanding,unigram,9,45.0,1.7419,18
commercial,unigram,9,45.0,1.7419,17
general,unigram,9,45.0,1.7419,17
importance,unigram,9,45.0,1.7419,17
offering,unigram,9,45.0,1.7419,17
revenue,unigram,9,45.0,1.7419,17
code,unigram,9,45.0,1.7419,16
expectations,unigram,9,45.0,1.7419,16
providing,unigram,9,45.0,1.7419,16
trust,unigram,9,45.0,1.7419,16
chair,unigram,9,45.0,1.7419,15
channels,unigram,9,45.0,1.7419,15
place,unigram,9,45.0,1.7419,15
single,unigram,9,45.0,1.7419,15
target,unigram,9,45.0,1.7419,15
trends,unigram,9,45.0,1.7419,15
enables,unigram,9,45.0,1.7419,14
enhancing,unigram,9,45.0,1.7419,14
gains,unigram,9,45.0,1.7419,14
like,unigram,9,45.0,1.7419,14
ways,unigram,9,45.0,1.7419,14
application,unigram,9,45.0,1.7419,13
current,unigram,9,45.0,1.7419,13
expect,unigram,9,45.0,1.7419,13
following,unigram,9,45.0,1.7419,13
improvements,unigram,9,45.0,1.7419,13
innovative,unigram,9,45.0,1.7419,13
objectives,unigram,9,45.0,1.7419,13
response,unigram,9,45.0,1.7419,13
robust,unigram,9,45.0,1.7419,13
speed,unigram,9,45.0,1.7419,13
subject,unigram,9,45.0,1.7419,13
identified,unigram,9,45.0,1.7419,12
office,unigram,9,45.0,1.7419,12
priority,unigram,9,45.0,1.7419,12
successful,unigram,9,45.0,1.7419,12
alignment,unigram,9,45.0,1.7419,11
decision making,bigram,9,45.0,1.7419,11
manual,unigram,9,45.0,1.7419,11
testing,unigram,9,45.0,1.7419,11
consider,unigram,9,45.0,1.7419,10
invested,unigram,9,45.0,1.7419,10
momentum,unigram,9,45.0,1.7419,10
entries,unigram,9,45.0,1.7419,9
banking,unigram,8,40.0,1.8473,38
genai,unigram,8,40.0,1.8473,37
agentic ai,bigram,8,40.0,1.8473,28
party,unigram,8,40.0,1.8473,27
insurance,unigram,8,40.0,1.8473,26
certain,unigram,8,40.0,1.8473,25
example,unigram,8,40.0,1.8473,25
crime,unigram,8,40.0,1.8473,24
provided,unigram,8,40.0,1.8473,24
regulations,unigram,8,40.0,1.8473,24
billion,unigram,8,40.0,1.8473,23
completed,unigram,8,40.0,1.8473,23
complex,unigram,8,40.0,1.8473,22
economic,unigram,8,40.0,1.8473,22
issues,unigram,8,40.0,1.8473,22
open,unigram,8,40.0,1.8473,22
ai data,bigram,8,40.0,1.8473,21
ai tools,bigram,8,40.0,1.8473,21
tool,unigram,8,40.0,1.8473,21
attacks,unigram,8,40.0,1.8473,20
failure,unigram,8,40.0,1.8473,20
role,unigram,8,40.0,1.8473,20
supporting,unigram,8,40.0,1.8473,20
collaboration,unigram,8,40.0,1.8473,19
factors,unigram,8,40.0,1.8473,19
operate,unigram,8,40.0,1.8473,19
regulation,unigram,8,40.0,1.8473,19
partnerships,unigram,8,40.0,1.8473,18
social,unigram,8,40.0,1.8473,18
tax,unigram,8,40.0,1.8473,18
technology data,bigram,8,40.0,1.8473,18
ai digital,bigram,8,40.0,1.8473,17
groups,unigram,8,40.0,1.8473,17
loss,unigram,8,40.0,1.8473,17
principles,unigram,8,40.0,1.8473,17
rapidly,unigram,8,40.0,1.8473,17
regular,unigram,8,40.0,1.8473,17
shareholders,unigram,8,40.0,1.8473,17
way,unigram,8,40.0,1.8473,17
ai adoption,bigram,8,40.0,1.8473,16
financial crime,bigram,8,40.0,1.8473,16
page,unigram,8,40.0,1.8473,16
payments,unigram,8,40.0,1.8473,16
portfolio,unigram,8,40.0,1.8473,16
private,unigram,8,40.0,1.8473,16
serve,unigram,8,40.0,1.8473,16
wide,unigram,8,40.0,1.8473,16
world,unigram,8,40.0,1.8473,16
agents,unigram,8,40.0,1.8473,15
ai use,bigram,8,40.0,1.8473,15
developing,unigram,8,40.0,1.8473,15
good,unigram,8,40.0,1.8473,15
helping,unigram,8,40.0,1.8473,15
led,unigram,8,40.0,1.8473,15
maintain,unigram,8,40.0,1.8473,15
multi,unigram,8,40.0,1.8473,15
rates,unigram,8,40.0,1.8473,15
relationships,unigram,8,40.0,1.8473,15
report accounts,bigram,8,40.0,1.8473,15
results,unigram,8,40.0,1.8473,15
ambition,unigram,8,40.0,1.8473,14
best,unigram,8,40.0,1.8473,14
financial services,bigram,8,40.0,1.8473,14
identify,unigram,8,40.0,1.8473,14
interactions,unigram,8,40.0,1.8473,14
maintaining,unigram,8,40.0,1.8473,14
operational risk,bigram,8,40.0,1.8473,14
retail,unigram,8,40.0,1.8473,14
technology ai,bigram,8,40.0,1.8473,14
advances,unigram,8,40.0,1.8473,13
ai technology,bigram,8,40.0,1.8473,13
available,unigram,8,40.0,1.8473,13
broader,unigram,8,40.0,1.8473,13
dedicated,unigram,8,40.0,1.8473,13
experiences,unigram,8,40.0,1.8473,13
net,unigram,8,40.0,1.8473,13
organisation,unigram,8,40.0,1.8473,13
reducing,unigram,8,40.0,1.8473,13
safe,unigram,8,40.0,1.8473,13
understand,unigram,8,40.0,1.8473,13
view,unigram,8,40.0,1.8473,13
basis,unigram,8,40.0,1.8473,12
day,unigram,8,40.0,1.8473,12
detection,unigram,8,40.0,1.8473,12
facing,unigram,8,40.0,1.8473,12
november,unigram,8,40.0,1.8473,12
overall,unigram,8,40.0,1.8473,12
practice,unigram,8,40.0,1.8473,12
priorities,unigram,8,40.0,1.8473,12
relation,unigram,8,40.0,1.8473,12
advantage,unigram,8,40.0,1.8473,11
creating,unigram,8,40.0,1.8473,11
events,unigram,8,40.0,1.8473,11
free,unigram,8,40.0,1.8473,11
identification,unigram,8,40.0,1.8473,11
monitored,unigram,8,40.0,1.8473,11
new technologies,bigram,8,40.0,1.8473,11
pace,unigram,8,40.0,1.8473,11
statement,unigram,8,40.0,1.8473,11
traditional,unigram,8,40.0,1.8473,11
assessing,unigram,8,40.0,1.8473,10
assessments,unigram,8,40.0,1.8473,10
comprehensive,unigram,8,40.0,1.8473,10
positive,unigram,8,40.0,1.8473,10
specific,unigram,8,40.0,1.8473,10
stakeholder,unigram,8,40.0,1.8473,10
achieve,unigram,8,40.0,1.8473,9
average,unigram,8,40.0,1.8473,9
conducted,unigram,8,40.0,1.8473,9
fast,unigram,8,40.0,1.8473,9
integrate,unigram,8,40.0,1.8473,9
shared,unigram,8,40.0,1.8473,9
supports,unigram,8,40.0,1.8473,9
whilst,unigram,8,40.0,1.8473,9
central,unigram,8,40.0,1.8473,8
confidence,unigram,8,40.0,1.8473,8
result,unigram,7,35.0,1.9651,32
years,unigram,7,35.0,1.9651,25
million,unigram,7,35.0,1.9651,23
ai risk,bigram,7,35.0,1.9651,20
finance,unigram,7,35.0,1.9651,20
pricing,unigram,7,35.0,1.9651,20
using ai,bigram,7,35.0,1.9651,20
digital assets,bigram,7,35.0,1.9651,19
threats,unigram,7,35.0,1.9651,19
climate risk,bigram,7,35.0,1.9651,17
consistent,unigram,7,35.0,1.9651,17
transparency,unigram,7,35.0,1.9651,17
evolution,unigram,7,35.0,1.9651,16
execution,unigram,7,35.0,1.9651,16
journey,unigram,7,35.0,1.9651,16
capability,unigram,7,35.0,1.9651,15
discussed,unigram,7,35.0,1.9651,15
independent,unigram,7,35.0,1.9651,15
lead,unigram,7,35.0,1.9651,15
regulators,unigram,7,35.0,1.9651,15
acquisition,unigram,7,35.0,1.9651,14
ai capabilities,bigram,7,35.0,1.9651,14
ai strategy,bigram,7,35.0,1.9651,14
discussions,unigram,7,35.0,1.9651,14
estate,unigram,7,35.0,1.9651,14
expected,unigram,7,35.0,1.9651,14
geopolitical,unigram,7,35.0,1.9651,14
line,unigram,7,35.0,1.9651,14
operational resilience,bigram,7,35.0,1.9651,14
plc annual,bigram,7,35.0,1.9651,14
ambitions,unigram,7,35.0,1.9651,13
assess,unigram,7,35.0,1.9651,13
challenge,unigram,7,35.0,1.9651,13
cyber security,bigram,7,35.0,1.9651,13
helps,unigram,7,35.0,1.9651,13
income,unigram,7,35.0,1.9651,13
nature,unigram,7,35.0,1.9651,13
quantum,unigram,7,35.0,1.9651,13
respect,unigram,7,35.0,1.9651,13
design,unigram,7,35.0,1.9651,12
embed,unigram,7,35.0,1.9651,12
expanded,unigram,7,35.0,1.9651,12
higher,unigram,7,35.0,1.9651,12
medium,unigram,7,35.0,1.9651,12
parties,unigram,7,35.0,1.9651,12
point,unigram,7,35.0,1.9651,12
presented,unigram,7,35.0,1.9651,12
address,unigram,7,35.0,1.9651,11
audit committee,bigram,7,35.0,1.9651,11
changing,unigram,7,35.0,1.9651,11
closely,unigram,7,35.0,1.9651,11
computing,unigram,7,35.0,1.9651,11
directly,unigram,7,35.0,1.9651,11
disruption,unigram,7,35.0,1.9651,11
established,unigram,7,35.0,1.9651,11
frameworks,unigram,7,35.0,1.9651,11
given,unigram,7,35.0,1.9651,11
held,unigram,7,35.0,1.9651,11
important,unigram,7,35.0,1.9651,11
june,unigram,7,35.0,1.9651,11
payment,unigram,7,35.0,1.9651,11
sessions,unigram,7,35.0,1.9651,11
sources,unigram,7,35.0,1.9651,11
accelerated,unigram,7,35.0,1.9651,10
area,unigram,7,35.0,1.9651,10
arising,unigram,7,35.0,1.9651,10
believe,unigram,7,35.0,1.9651,10
commitment,unigram,7,35.0,1.9651,10
committees,unigram,7,35.0,1.9651,10
communities,unigram,7,35.0,1.9651,10
continuous,unigram,7,35.0,1.9651,10
details,unigram,7,35.0,1.9651,10
diverse,unigram,7,35.0,1.9651,10
efficiently,unigram,7,35.0,1.9651,10
emerging risks,bigram,7,35.0,1.9651,10
functions,unigram,7,35.0,1.9651,10
inflation,unigram,7,35.0,1.9651,10
low,unigram,7,35.0,1.9651,10
marketing,unigram,7,35.0,1.9651,10
means,unigram,7,35.0,1.9651,10
modern,unigram,7,35.0,1.9651,10
purpose,unigram,7,35.0,1.9651,10
reputational,unigram,7,35.0,1.9651,10
rise,unigram,7,35.0,1.9651,10
transaction,unigram,7,35.0,1.9651,10
various,unigram,7,35.0,1.9651,10
ai governance,bigram,7,35.0,1.9651,9
committed,unigram,7,35.0,1.9651,9
conditions,unigram,7,35.0,1.9651,9
defined,unigram,7,35.0,1.9651,9
digitalisation,unigram,7,35.0,1.9651,9
diversity,unigram,7,35.0,1.9651,9
empowering,unigram,7,35.0,1.9651,9
gain,unigram,7,35.0,1.9651,9
group ai,bigram,7,35.0,1.9651,9
maintained,unigram,7,35.0,1.9651,9
managing,unigram,7,35.0,1.9651,9
partners,unigram,7,35.0,1.9651,9
raised,unigram,7,35.0,1.9651,9
reflect,unigram,7,35.0,1.9651,9
resources,unigram,7,35.0,1.9651,9
respond,unigram,7,35.0,1.9651,9
reviews,unigram,7,35.0,1.9651,9
shape,unigram,7,35.0,1.9651,9
stress,unigram,7,35.0,1.9651,9
threat,unigram,7,35.0,1.9651,9
aligned,unigram,7,35.0,1.9651,8
apply,unigram,7,35.0,1.9651,8
december,unigram,7,35.0,1.9651,8
esg,unigram,7,35.0,1.9651,8
foundation,unigram,7,35.0,1.9651,8
implications,unigram,7,35.0,1.9651,8
network,unigram,7,35.0,1.9651,8
responsible use,bigram,7,35.0,1.9651,8
simplify,unigram,7,35.0,1.9651,8
structure,unigram,7,35.0,1.9651,8
th,unigram,7,35.0,1.9651,8
unique,unigram,7,35.0,1.9651,8
associated risks,bigram,7,35.0,1.9651,7
automation ai,bigram,7,35.0,1.9651,7
empower,unigram,7,35.0,1.9651,7
house,unigram,7,35.0,1.9651,7
inappropriate,unigram,7,35.0,1.9651,7
journal,unigram,7,35.0,1.9651,7
journal entries,bigram,7,35.0,1.9651,7
potential bias,bigram,7,35.0,1.9651,7
september,unigram,7,35.0,1.9651,7
shifts,unigram,7,35.0,1.9651,7
bank,unigram,6,30.0,2.0986,44
laws,unigram,6,30.0,2.0986,25
model risk,bigram,6,30.0,2.0986,25
colleague,unigram,6,30.0,2.0986,23
distribution,unigram,6,30.0,2.0986,23
trade,unigram,6,30.0,2.0986,23
plans,unigram,6,30.0,2.0986,22
fy,unigram,6,30.0,2.0986,20
deep,unigram,6,30.0,2.0986,19
journeys,unigram,6,30.0,2.0986,18
total,unigram,6,30.0,2.0986,16
cybersecurity,unigram,6,30.0,2.0986,15
energy,unigram,6,30.0,2.0986,15
ethics,unigram,6,30.0,2.0986,15
integrated,unigram,6,30.0,2.0986,15
measures,unigram,6,30.0,2.0986,14
software,unigram,6,30.0,2.0986,14
adoption ai,bigram,6,30.0,2.0986,13
ai systems,bigram,6,30.0,2.0986,13
banks,unigram,6,30.0,2.0986,13
personalised,unigram,6,30.0,2.0986,13
ve,unigram,6,30.0,2.0986,13
ai genai,bigram,6,30.0,2.0986,12
assurance,unigram,6,30.0,2.0986,12
awards,unigram,6,30.0,2.0986,12
clear,unigram,6,30.0,2.0986,12
emissions,unigram,6,30.0,2.0986,12
executive director,bigram,6,30.0,2.0986,12
expansion,unigram,6,30.0,2.0986,12
fully,unigram,6,30.0,2.0986,12
government,unigram,6,30.0,2.0986,12
member,unigram,6,30.0,2.0986,12
responsibly,unigram,6,30.0,2.0986,12
seamless,unigram,6,30.0,2.0986,12
simplification,unigram,6,30.0,2.0986,12
small,unigram,6,30.0,2.0986,12
usage,unigram,6,30.0,2.0986,12
use data,bigram,6,30.0,2.0986,12
accurate,unigram,6,30.0,2.0986,11
assumptions,unigram,6,30.0,2.0986,11
automated,unigram,6,30.0,2.0986,11
chain,unigram,6,30.0,2.0986,11
consideration,unigram,6,30.0,2.0986,11
economy,unigram,6,30.0,2.0986,11
engage,unigram,6,30.0,2.0986,11
likely,unigram,6,30.0,2.0986,11
money,unigram,6,30.0,2.0986,11
new technology,bigram,6,30.0,2.0986,11
processing,unigram,6,30.0,2.0986,11
regarding,unigram,6,30.0,2.0986,11
reports,unigram,6,30.0,2.0986,11
right,unigram,6,30.0,2.0986,11
risks associated,bigram,6,30.0,2.0986,11
safely,unigram,6,30.0,2.0986,11
sectors,unigram,6,30.0,2.0986,11
today,unigram,6,30.0,2.0986,11
volatility,unigram,6,30.0,2.0986,11
authority,unigram,6,30.0,2.0986,10
complexity,unigram,6,30.0,2.0986,10
continuing,unigram,6,30.0,2.0986,10
globally,unigram,6,30.0,2.0986,10
group risk,bigram,6,30.0,2.0986,10
new ai,bigram,6,30.0,2.0986,10
ownership,unigram,6,30.0,2.0986,10
